Empresa,Pais,Sitio_Web,Tipo_Institucion,Bloque_Nicho,Nombre_Contacto,Cargo,Email,Telefono,LinkedIn,Fuente,Confianza,Notas
Instituto de Especialización para Ejecutivos (IEE),Mexico,https://www.iee.edu.mx,"Escuela de negocios / educación continua (posgrados fiscal, financiero, empresarial; presencia en 42 ciudades)",G - Escuelas de negocio y educación continua,,,,,,https://www.iee.edu.mx/contacto/,Sin contacto público,"50 años de historia y +500,000 profesionales capacitados; sin correo departamental ni nombre público de directivo comercial/admisiones confirmado (la página de contacto redirige por campus sin mostrar datos directos)."
ISDI México,Mexico,https://www.isdi.education/en/locations/mexico,Escuela de negocios digital / educación ejecutiva (CDMX),G - Escuelas de negocio y educación continua,,,admisiones@mexico.isdi.education,,,https://isdi.com.mx/contacto,Email institucional,Correo de admisiones publicado en sitio oficial; sin nombre público de directivo comercial/admisiones para la operación México.
Unitips,Mexico,https://www.unitips.mx,"Edtech de preparación para examen de admisión universitaria (EXANI, UNAM, IPN, UAM)",H - Preparación de pruebas y preuniversitario,,,ventas@unitips.mx,+52 (55) 4335-0745,,https://info.unitips.mx/contacto,Email institucional,Correo de ventas/informes publicado en sitio oficial (línea con opción de Ventas y Soporte); sin nombre público de directivo comercial/admisiones.
Misión Admisión,Mexico,https://www.misionadmision.com,"Plataforma de preparación para exámenes de admisión (CENEVAL, EXANI I/II, PAA, College Board)",H - Preparación de pruebas y preuniversitario,,,contacto@misionadmision.com,(999) 923 5589,,https://www.misionadmision.com/contacto.html,Email institucional,Correo y teléfono institucional publicados en sitio oficial; sin nombre público de directivo comercial/admisiones.
Propedéutica 360°,Mexico,https://cursosp.mx,"Curso propedéutico/preuniversitario (UNAM, IPN, EXCOBA)",H - Preparación de pruebas y preuniversitario,,,informes@cursosp.mx,+52 55 1499 2530,,https://cursosp.mx/universidad.html,Email institucional,Correo y teléfono institucional publicados en sitio oficial; sin nombre público de directivo comercial/admisiones.
Universidad UNIACC,Chile,https://www.uniacc.cl,Universidad privada online,A. Universidades privadas online/a distancia,,,admision@uniacc.cl,+56 2 2640 6000,,https://www.uniacc.cl/admision/,Email institucional,Email de admisión publicado en sitio oficial; sin nombre de directivo verificado.
UNIR Chile (Universidad Internacional de La Rioja),Chile,https://chile.unir.net,Universidad privada online (extranjera con operación en Chile),A. Universidades privadas online/a distancia,,,info@unir.net,+34 941 209 743,,https://chile.unir.net/,Email institucional,Email de contacto global publicado; operación específica de Chile no publica staff local con nombre.
Universidad Autónoma de Chile,Chile,https://www.uautonoma.cl,Universidad privada (oferta online y presencial),A. Universidades privadas online/a distancia,Esteban Barahona Jiménez,Director Comercial y de Gestión de Procesos de Postgrados,,,https://cl.linkedin.com/in/esteban-barahona-jim%C3%A9nez-51b725149,LinkedIn (búsqueda site:linkedin.com),Contacto nombrado,Título y nombre confirmados en LinkedIn; email no publicado públicamente (no se adivinó).
UANDES Online (Universidad de los Andes - educación continua online),Chile,https://uandesonline.cl,Universidad privada - unidad online de educación continua,A. Universidades privadas online/a distancia,Jaime Cerda,Sub Director Comercial y Admisión,,,https://www.linkedin.com/in/jaime-cerda-559903144/,LinkedIn / ZoomInfo,Contacto nombrado,"Nombre y cargo confirmados en LinkedIn; email listado en fuentes de terceros aparece parcialmente enmascarado, no se confirmó texto completo por lo que se omite."
Universidad de Las Américas (UDLA),Chile,https://www.udla.cl,Universidad privada tradicional/presencial,B. Universidades tradicionales y privadas presenciales,,,servicio.estudiante@udla.cl,800 242 800,,https://admision.udla.cl/,Email institucional,Email de servicio al estudiante/admisión publicado en sitio oficial.
Universidad Central de Chile,Chile,https://www.ucentral.cl,Universidad privada tradicional/presencial,B. Universidades tradicionales y privadas presenciales,,,admision@ucentral.cl,600 582 2222,,https://admision.ucentral.cl/,Email institucional,Email de admisión publicado en sitio oficial.
Universidad Bernardo O'Higgins (UBO),Chile,https://www.ubo.cl,Universidad privada tradicional/presencial,B. Universidades tradicionales y privadas presenciales,,,admision@ubo.cl,600 366 5555,,https://admision.ubo.cl/contacto/,Email institucional,Email de admisión publicado en sitio oficial.
Universidad Gabriela Mistral (UGM),Chile,https://www.ugm.cl,Universidad privada tradicional/presencial,B. Universidades tradicionales y privadas presenciales,,,admision@ugm.cl,+56 600 401 0060,,https://www.ugm.cl/,Email institucional,Email de admisión publicado en sitio oficial.
Universidad SEK Chile,Chile,https://usek.cl,Universidad privada tradicional/presencial,B. Universidades tradicionales y privadas presenciales,,,admision@usek.cl,+56 9 7695 7571,,https://usek.cl/,Email institucional,Email de admisión publicado en sitio oficial.
Universidad Viña del Mar (UVM),Chile,https://www.uvm.cl,Universidad privada tradicional/presencial,B. Universidades tradicionales y privadas presenciales,Vanessa Valdés Ossandón,Contacto de Admisión (Postgrados),vanessa.valdes@uvm.cl,+56 32 246 2737,,Sitio oficial UVM / directorio de contacto de postgrados,Contacto nombrado,"Nombre, cargo y email publicados como contacto de admisión de postgrado."
AIEP (Instituto Profesional AIEP),Chile,https://www.aiep.cl,Instituto Profesional,C. Institutos Profesionales (IP) y Centros de Formación Técnica (CFT),Andrés Aguayo,Coordinador de Admisión y Difusión,,600 450 1500,,ZoomInfo (perfil profesional con cargo confirmado en AIEP),Contacto nombrado,"Nombre y cargo listados en fuente de terceros; email publicado aparece enmascarado y no se confirmó, se omite."
Duoc UC,Chile,https://www.duoc.cl,Instituto Profesional,C. Institutos Profesionales (IP) y Centros de Formación Técnica (CFT),,,admisionduocuc@duoc.cl,+56 2 2712 0640,,https://www.duoc.cl/admision/,Email institucional,Email de admisión publicado en sitio oficial.
INACAP,Chile,https://portal.inacap.cl,Instituto Profesional / CFT,C. Institutos Profesionales (IP) y Centros de Formación Técnica (CFT),,,informaciones@inacap.cl,800 20 25 20,,https://portal.inacap.cl/admision/contactos-de-admision,Email institucional,Email general de admisión; también existen correos por sede.
Instituto Profesional Los Leones,Chile,https://ipleones.cl,Instituto Profesional,C. Institutos Profesionales (IP) y Centros de Formación Técnica (CFT),Ana Elisa Gómez Morales,Directora de Admisión y Comunicaciones,admision@ipleones.cl,+56 2 2652 1200,,ZoomInfo + sitio oficial ipleones.cl,Contacto nombrado,Nombre y cargo confirmados en fuente de terceros; email corresponde a casilla institucional de admisión.
Instituto Profesional IPLACEX,Chile,https://www.iplacex.cl,Instituto Profesional,C. Institutos Profesionales (IP) y Centros de Formación Técnica (CFT),Yajaira Juliac,Ejecutiva de Admisión,yjuliac@iplacex.cl,+56 9 8616 8957,,Directorio de contacto de admisión publicado en fuentes de terceros,Contacto nombrado,"Nombre, cargo, teléfono y email de admisión encontrados publicados."
Instituto Profesional IACC,Chile,https://www.iacc.cl,Instituto Profesional (100% online),C. Institutos Profesionales (IP) y Centros de Formación Técnica (CFT),,,admision@iacc.cl,+56 22 606 2000,,https://www.iacc.cl/admision/,Email institucional,Email de admisión publicado en sitio oficial.
Instituto Profesional Santo Tomás,Chile,https://www.ipsantotomas.cl,Instituto Profesional,C. Institutos Profesionales (IP) y Centros de Formación Técnica (CFT),,,admision.sanjoaquin@santotomas.cl,600 360 0010,,https://www.ipsantotomas.cl/sedes/sede-online/contacto/,Email institucional,Correos de admisión publicados por sede (se usa sede San Joaquín como referencia); no se identificó directivo nacional nombrado públicamente.
CFT Juan Bohon (La Serena),Chile,https://juanbohon.cl,Centro de Formación Técnica,C. Institutos Profesionales (IP) y Centros de Formación Técnica (CFT),,,,,,https://juanbohon.cl/admision-2026/,Sin contacto público,"Admisión se gestiona vía formulario web; no se encontró email de admisión ni nombre de directivo publicado (solo email de recaudación, no aplicable)."
CEDUC UCN (Centro de Formación Técnica),Chile,https://www.ceduc.cl,Centro de Formación Técnica,C. Institutos Profesionales (IP) y Centros de Formación Técnica (CFT),,,coordinacionadmision.antofagasta@ceduc.cl,(55) 2243020,,https://www.ceduc.cl/,Email institucional,Correos de admisión publicados por sede; se usa sede Antofagasta como referencia (casa matriz).
Berlitz Chile,Chile,https://www.berlitz.com/es-cl,Academia de idiomas,D. Academias de idiomas,,,,,,https://www.berlitz.com/es-cl/,Sin contacto público,No se encontró email ni nombre de directivo publicado; solo formulario de contacto en sitio oficial.
Instituto Chileno Norteamericano de Cultura,Chile,https://norteamericano.cl,Academia de idiomas,D. Academias de idiomas,,,contacto@norteamericano.cl,+56 2 3210 8280,,https://www.chilenonorteamericano.cl/contacto/,Email institucional,Email de contacto general publicado en sitio oficial.
Instituto Profesional Chileno Británico de Cultura,Chile,https://www.britanico.cl,Academia de idiomas / Instituto Profesional,D. Academias de idiomas,,,admision@ipbritanico.cl,+56 2 2413 2044,,https://admision.ipbritanico.cl/contacto,Email institucional,Email de admisión publicado en sitio oficial (rama Instituto Profesional Chileno Británico).
Instituto Chileno Suizo de Idiomas y Cultura,Chile,https://chilenosuizo.cl,Academia de idiomas,D. Academias de idiomas,,,info@chilenosuizo.cl,+56 9 7859 4195,,https://chilenosuizo.cl/,Email institucional,Email general publicado en sitio oficial; se menciona a Armin Weissen como referente de la institución pero sin cargo/título verificado públicamente.
Vamos English Academy,Chile,https://vamospanish.com,Academia de idiomas,D. Academias de idiomas,,,,,,https://vamospanish.com/,Sin contacto público,No se encontró email de contacto ni nombre de directivo publicado.
4Geeks Academy Chile,Chile,https://4geeksacademy.com/es/coding-campus/bootcamp-programacion-santiago,Bootcamp de programación,E. Edtech y bootcamps,,,,,,https://4geeksacademy.com/es/coding-campus/bootcamp-programacion-santiago,Sin contacto público,Se identificó que existe un Country Manager para Chile pero no se encontró su nombre público; sin email institucional local verificado.
Le Wagon Santiago,Chile,https://www.lewagon.com/santiago,Bootcamp de programación,E. Edtech y bootcamps,,,,,,https://www.lewagon.com/santiago,Sin contacto público,No se encontró email de contacto local ni nombre de directivo publicado.
Coderhouse,Chile,https://www.coderhouse.com,Bootcamp / Edtech (cursos online),E. Edtech y bootcamps,,,contacto@coderhouse.com,,,https://www.coderhouse.com/empresas/contactanos,Email institucional,"Email de contacto general de la compañía (operación regional LatAm, incluye Chile); no se encontró contacto específico de Chile."
Desafío Latam,Chile,https://desafiolatam.com,Bootcamp de programación,E. Edtech y bootcamps,Diego Arias Gómez,Fundador,,,https://www.linkedin.com/in/godiegoarias/,LinkedIn,Contacto nombrado,Fundador confirmado en LinkedIn y notas de prensa sobre la empresa; email no publicado.
TripleTen Chile,Chile,https://tripleten.com,Bootcamp / Edtech (online),E. Edtech y bootcamps,,,,,,https://tripleten.com/,Sin contacto público,No se encontró email de contacto local ni nombre de directivo publicado para la operación en Chile.
Instituto Gastronómico Internacional (IGI Chile),Chile,https://www.igichile.cl,Escuela especializada (gastronomía),F. Escuelas especializadas de alto ticket,,,,,,https://www.igichile.cl/quienes-somos,Sin contacto público,Solo se ofrece formulario de contacto web; no se encontró email de admisión ni nombre de directivo publicado.
Escuela Culinaria Francesa (Ecole),Chile,https://escuelaculinaria.cl,Escuela especializada (gastronomía),F. Escuelas especializadas de alto ticket,Carmen Castro,Rectora,admision@escuelaculinaria.cl,+56 2 2206 9720,,ZoomInfo (cargo) + sitio oficial (email institucional),Contacto nombrado,Nombre y cargo de Rectora encontrados en fuente de terceros; email corresponde a casilla institucional de admisión.
Instituto Crearte (Diseño de Moda),Chile,https://institutocrearte.cl,Escuela especializada (diseño de moda),F. Escuelas especializadas de alto ticket,Patricia Romero Baeza,Directora del Programa de Diseño de Moda,,+56 2 2400 9413,,https://institutocrearte.cl/htm/moda.html,Contacto nombrado,Nombre y cargo publicados en sitio oficial; no se encontró email personal publicado.
Academia de Vuelo Golden Eagle,Chile,https://goldeneagle.cl,Escuela especializada (aviación / piloto comercial),F. Escuelas especializadas de alto ticket,,,,+56 9 9645 1154,,https://goldeneagle.cl/contacto-iniciales-y-pilotos/,Sin contacto público,Solo se publican teléfonos y formulario de contacto; no se encontró email ni nombre de directivo.
Pegasus Blue (Centro de Formación Aeronáutica),Chile,https://pegasusblue.cl,Escuela especializada (aviación / piloto comercial),F. Escuelas especializadas de alto ticket,,,,,,https://pegasusblue.cl/,Sin contacto público,No se encontró email ni nombre de directivo publicado en la búsqueda inicial.
Instituto John Kennedy,Chile,https://www.institutokennedy.cl,Escuela especializada (belleza/estética),F. Escuelas especializadas de alto ticket,,,Info@institutokennedy.cl,+56 2 3637700,,https://www.institutokennedy.cl/contacto,Email institucional,Email de contacto general publicado en sitio oficial.
Escuela de Cosmetología y Estética Integral Eva Berndt - Dr. Fontboté,Chile,https://www.escuelacosmetologiabf.cl,Escuela especializada (belleza/estética),F. Escuelas especializadas de alto ticket,,,,,,https://www.escuelacosmetologiabf.cl/,Sin contacto público,No se encontró email de contacto ni nombre de directivo publicado en la búsqueda inicial.
ESE Business School (Universidad de los Andes),Chile,https://www.ese.cl,Escuela de negocios / educación ejecutiva,G. Escuelas de negocio y educación continua / MBA,Karin Jürgensen,Directora,,,,Wikipedia (ESE Business School at Universidad de los Andes),Contacto nombrado,"Nombre y cargo de dirección referenciados en fuente enciclopédica; email no publicado, se recomienda verificar cargo exacto vigente antes de contactar."
Universidad Adolfo Ibáñez - Escuela de Negocios (UAI Business School),Chile,https://negocios.uai.cl,Escuela de negocios / MBA,G. Escuelas de negocio y educación continua / MBA,,,,,,https://negocios.uai.cl,Sin contacto público,No se encontró email de admisión ni nombre de directivo publicado en la búsqueda inicial.
OBS Business School (Chile),Chile,https://www.obsbusiness.school,Escuela de negocios online / MBA,G. Escuelas de negocio y educación continua / MBA,,,,,,https://www.obsbusiness.school/en/contact,Sin contacto público,Escuela de negocios online con alumnado en Chile; no se encontró contacto ni staff específico de Chile publicado.
Cpech (Preuniversitario),Chile,https://www.cpech.cl,Preuniversitario / preparación PAES,H. Preparación de pruebas y preuniversitario,Marcelo Vilugrón,Contacto Comercial (sedes Osorno/Conchalí),,227224100,,https://www.mercantil.com/empresa/preuniversitario-cepech/,Contacto nombrado,"Nombre y rol comercial regional encontrados en directorio de terceros; email no publicado, se omite."
Preuniversitario Pedro de Valdivia,Chile,https://www.preupdv.cl,Preuniversitario / preparación PAES,H. Preparación de pruebas y preuniversitario,Jesús Madariaga,Contacto Comercial,contacto@pedrodevaldivia.cl,(2) 2549 8700,,https://www.preupdv.cl/contacto,Contacto nombrado,Nombre listado como contacto comercial en directorio de terceros; email corresponde a casilla institucional general publicada en sitio oficial.
Preuniversitario Filadd,Chile,https://filadd.cl,Preuniversitario online / edtech,H. Preparación de pruebas y preuniversitario,Joaquín Olmedo,CEO y Cofundador,,,,"Notas de prensa (iproup.com, comercioyjusticia.info) sobre fundadores de Filadd",Contacto nombrado,"Startup de origen argentino con operación activa en Chile; fundador confirmado en prensa especializada, email no publicado."
